Symbol,Security,Sector,Market Cap,Price,Book Value,Earnings/Share,EBITDA,Price/Sales,52 week low,52 week high,Sub Industry,Address of Headquarters
GT,Goodyear Tire & Rubber,Consumer Discretionary,10.09,57.78,11,3.83,1.28,1.68,41.63,62.35,Tires & Rubber,"Akron, Ohio"
GWW,Grainger (W.W.) Inc.,Industrials,7.79,111.43,36.87,5.06,0.8603500000000001,1.08,64.93,111.85,Industrial Machinery,"Lake Forest, Illinois"
HAL,Halliburton Co.,Energy,13.66,109.73,25.4,5.28,1.58,1.85,73.32,111.67,Oil & Gas Equipment & Services,"Houston, Texas"
HBI,Hanesbrands Inc,Consumer Discretionary,18.01,48.66,45.2,2.27,1.48,0.99,38.92,50.13,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina"
HOG,Harley-Davidson,Consumer Discretionary,12.08,97.2,14.96,4.34,0.97538,2.4,76.14,99.33,Motorcycle Manufacturers,"Milwaukee, Wisconsin"
HRS,Harris Corporation,Information Technology,32.07,86.63,-19.71,7.3,8.16,0.78,67,88.62,Communications Equipment,"Melbourne, Florida"
HIG,Hartford Financial Svc.Gp.,Financials,14.65,31.3,11.85,1.34,1.28,6.93,27.61,40.43,Property & Casualty Insurance,"Hartford, Connecticut"
HAS,Hasbro Inc.,Consumer Discretionary,7.42,68.37,41.23,-1.02,0.49541,5.03,55.75,85.78,Leisure Products,"Pawtucket, Rhode Island"
HCA,HCA Holdings,Health Care,13.55,171.06,35.18,6.19,0.98724,1.17,146.23,183,Health Care Facilities,"Nashville, Tennessee"
HCP,HCP Inc.,Real Estate,15.67,49.51,45.92,-19.92,0.936,3.44,45.37,65.56,Health Care REITs,"Long Beach, California"
HP,Helmerich & Payne,Energy,37.95,22.82,18.94,1.84,7.8,0.79,15.3,24.88,Oil & Gas Drilling,"Tulsa, Oklahoma[5]"
HSIC,Henry Schein,Health Care,11.44,40.96,8.02,1.17,1.04,4,32.64,42.17,Health Care Distributors,"Melville, New York"
HSY,The Hershey Company,Consumer Staples,176.1,146.02,3.59,6.45,15.4,1.86,119.2,148.26,Packaged Foods & Meats,"Hershey, Pennsylvania"
HES,Hess Corporation,Energy,96.11,126.26,25.46,6.2,7.71,2.44,105.25,127.41,Integrated Oil & Gas,"New York, New York"
HPE,Hewlett Packard Enterprise,Information Technology,18.42,34.85,8.66,1.65,1.41,1.95,33.18,44.73,"Technology Hardware, Storage & Peripherals","Palo Alto, California"
HOLX,Hologic,Health Care,13.44,18.18,9.48,1.02,1.42,2.51,14.3,20.21,Health Care Equipment,"Marlborough, Massachusetts"
HD,Home Depot,Consumer Discretionary,29.43,17.27,-2.54,1.47,4.26,0.61,11.09,17.81,Home Improvement Retail,"Atlanta, Georgia"
HON,Honeywell Int'l Inc.,Industrials,32.55,217.95,71.57,4.07,2.06,0.58,150,218.93,Industrial Conglomerates,"Morristown, New Jersey"
HRL,Hormel Foods Corp.,Consumer Staples,15.46,14.24,8.51,0.7,0,4.67,8.05,14.74,Packaged Foods & Meats,"Austin, Minnesota"
HST,Host Hotels & Resorts,Real Estate,12.94,147.03,-1.23,2.44,0.43068,7.29,72.29,148.22,Hotel & Resort REITs,"Bethesda, Maryland"
HPQ,HP Inc.,Information Technology,46.4,133.9,12.26,5.7,3.53,3.42,96.13,135.24,"Technology Hardware, Storage & Peripherals","Palo Alto, California"
HUM,Humana Inc.,Health Care,24.22,165.58,15.03,3.07,0.71878,10.17,119.37,186.88,Managed Health Care,"Louisville, Kentucky"
HBAN,Huntington Bancshares,Financials,25.27,133.39,2.22,0.54,0.19085,23.02,60.3,137.76,Regional Banks,"Columbus, Ohio"
IDXX,IDEXX Laboratories,Health Care,20.65,79.59,25.65,5.65,1.92,1.52,56.73,82.17,Health Care Equipment,"Westbrook, Maine"
ITW,Illinois Tool Works,Industrials,169.26,35.8,14,2.12,22.87,2.83,29.5,38.45,Industrial Machinery,"Glenview, Illinois"
ILMN,Illumina Inc,Health Care,6.75,58.63,26.42,2.37,2.75,1.51,45.44,60.54,Life Sciences Tools & Services,"San Diego, California"
IR,Ingersoll-Rand PLC,Industrials,170.14,180.38,19.29,12.38,18.55,2.13,138.09,182.79,Industrial Machinery,"Dublin, Ireland"
INTC,Intel Corp.,Information Technology,21.17,51.48,10.56,2.18,2.87,1.02,37.88,58.86,Semiconductors,"Santa Clara, California"
ICE,Intercontinental Exchange,Financials,9.5,24.2,5.15,1.49,1.1,1.21,20.82,25.33,Financial Exchanges & Data,"Atlanta, Georgia"
IBM,International Business Machines,Information Technology,9.79,123.89,20.53,5.05,0.67298,3.15,106.11,143.64,IT Consulting & Other Services,"Armonk, New York"
INCY,Incyte,Health Care,32.08,125.4,3.07,3.72,1.41,6.65,96.85,128.45,Biotechnology,"Wilmington, Delaware"
IP,International Paper,Materials,28.32,730.15,148.91,18.73,1.05,10.55,561.02,746.28,Paper Packaging,"Memphis, Tennessee"
IPG,Interpublic Group,Consumer Discretionary,12.91,31.96,18.58,2.06,1.33,2.75,23.01,33.46,Advertising,"New York, New York"
IFF,Intl Flavors & Fragrances,Materials,9.44,35.79,7.34,0.42,1.11,2.71,30.32,41.5,Specialty Chemicals,"New York, New York"
INTU,Intuit Inc.,Information Technology,10.75,96.6,12.7,3.81,1.08,1.67,75.71,102.38,Internet Software & Services,"Mountain View, California"
ISRG,Intuitive Surgical Inc.,Health Care,6.84,56.51,33.59,1.85,0.64212,0.64,39.88,63.42,Health Care Equipment,"Sunnyvale, California"
IVZ,Invesco Ltd.,Financials,16.21,139.17,62.19,5.74,1.66,2.2,122.05,157.31,Asset Management & Custody Banks,"Atlanta, Georgia"
IRM,Iron Mountain Incorporated,Real Estate,335.99,123.83,26.02,5.93,24.96,4.67,106.07,126.07,Specialized REITs,"Boston, Massachusetts"
JEC,Jacobs Engineering Group,Industrials,38.93,41.47,20.86,-1.34,3.76,0.98,36.29,48.97,Construction & Engineering,"Pasadena, California"
JBHT,J. B. Hunt Transport Services,Industrials,325.49,91.41,64.07,6.19,0,3.62,57.05,93.98,Trucking,"Lowell, Arkansas"
SJM,JM Smucker,Consumer Staples,10.75,28.15,13.02,1.53,1.11,2.16,21.17,29.21,Packaged Foods & Meats,"Orrville, Ohio"
JNJ,Johnson & Johnson,Health Care,9.49,89,38.31,4.43,1.12,4.08,79.05,100.69,Health Care Equipment,"New Brunswick, New Jersey"
JCI,Johnson Controls International,Industrials,26.03,74.14,5.44,1.96,2.25,2,70.74,87.16,Building Products,"Cork, Ireland"
JPM,JPMorgan Chase & Co.,Financials,20.15,18.79,12.58,0.8,0,4.31,10.21,19.53,Diversified Banks,"New York, New York"
JNPR,Juniper Networks,Information Technology,47.52,133.38,-0.29,5.99,4.08,2.61,111.3,138.87,Communications Equipment,"Sunnyvale, California"
KSU,Kansas City Southern,Industrials,9.68,22.75,12.37,0.79,0.7661399999999999,8.41,22.73,32.24,Railroads,"Kansas City, Missouri"
K,Kellogg Co.,Consumer Staples,48.29,21.63,15.44,0.25,6.16,3.72,16.63,23.36,Packaged Foods & Meats,"Battle Creek, Michigan"
KEY,KeyCorp,Financials,14.27,91.04,6.16,5.5,1.25,4.37,66.88,91.65,Regional Banks,"Cleveland, Ohio"
KMB,Kimberly-Clark,Consumer Staples,6.87,39.51,29.75,3.11,2.31,0.37,33.87,59.67,Household Products,"Irving, Texas"
KIM,Kimco Realty,Real Estate,110.52,90.8,47.15,2.81,8.57,4.19,75.55,97.77,Retail REITs,"New Hyde Park, New York"
KMI,Kinder Morgan,Energy,26.62,28.81,7.26,2.05,5.78,0.24,28.71,39.22,Oil & Gas Storage & Transportation,"Houston, Texas"
KLAC,KLA-Tencor Corp.,Information Technology,14.35,50.17,-4.16,3.98,2.51,1.17,47.93,88.77,Semiconductor Equipment,"Milpitas, California"
KSS,Kohl's Corp.,Consumer Discretionary,13.15,169.07,58.95,9.01,1.23,1.25,115.75,171.24,General Merchandise Stores,"Menomonee Falls, Wisconsin"
KHC,Kraft Heinz Co,Consumer Staples,14.54,142.09,53.61,7.02,1.83,1.54,109.87,143.7,Packaged Foods & Meats,"Pittsburgh, Pennsylvania"
KR,Kroger Co.,Consumer Staples,19.12,117.43,39.39,5.58,1.62,3.02,72,119.91,Food Retail,"Cincinnati, Ohio"
LB,L Brands Inc.,Consumer Discretionary,6.63,48.83,8.18,2.76,0.5892000000000001,1.77,44.02,54.62,Apparel Retail,"Columbus, Ohio"
LLL,L-3 Communications Holdings,Industrials,11.89,50.71,29.97,3.93,1.34,1.07,39.68,50.81,Aerospace & Defense,"New York, New York"
LH,Laboratory Corp. of America Holding,Health Care,9.59,26.66,28.18,0.34,1.25,0.88,14.31,27.33,Health Care Services,"Burlington, North Carolina"
LRCX,Lam Research,Information Technology,20,55.46,30.32,1.87,2.67,2.48,44.01,60.12,Semiconductor Equipment,"Fremont, California"
LEG,Leggett & Platt,Consumer Discretionary,86.95,82.74,13.33,2.58,5.37,4.15,64.18,84.28,Home Furnishings,"Carthage, Missouri"
LEN,Lennar Corp.,Consumer Discretionary,15.6,69.25,63.97,5.03,1.8,1.18,35.27,73.31,Homebuilding,"Miami, Florida"
LVLT,Level 3 Communications,Telecommunication Services,15.73,65.33,7.81,2.04,0.7259800000000001,10.61,42.65,65.76,Alternative Carriers,"Broomfield, Colorado"
LUK,Leucadia National Corp.,Financials,9.51,30.89,11.19,1.5,1,1.12,29.37,36.35,Multi-Sector Holdings,"New York, New York"
LLY,Lilly (Eli) & Co.,Health Care,77.75,269.04,5.23,17.49,6.11,1.64,214.81,270,Pharmaceuticals,"Indianapolis, Indiana"
LNC,Lincoln National,Financials,15.97,47.45,53.96,1.93,2.94,1.22,36.05,48.05,Multi-line Insurance,"Radnor, Pennsylvania"
LKQ,LKQ Corporation,Consumer Discretionary,70.01,80.84,7.43,3.47,7.44,1.08,64.87,83.65,Distributors,"Chicago, Illinois"
LMT,Lockheed Martin Corp.,Industrials,36.72,91.23,14.97,9.13,6.07,1.26,69.82,97.64,Aerospace & Defense,"Bethesda, Maryland"
L,Loews Corp.,Financials,25.71,166.73,97.66,7.78,0,5.04,106.05,173.72,Multi-line Insurance,"New York, New York"
LOW,Lowe's Cos.,Consumer Discretionary,9.39,65.27,28.52,3.52,0.64491,8.73,64.55,94.51,Home Improvement Retail,"Mooresville, North Carolina"
LYB,LyondellBasell,Materials,9.37,30.81,14.22,1.99,2.9,0.36,28.55,45.5,Specialty Chemicals,"Rotterdam, Netherlands"
MTB,M&T Bank Corp.,Financials,5.2,49.71,47.62,2.58,1.48,1.58,42.67,85.83,Regional Banks,"Buffalo, New York"
MAC,Macerich,Real Estate,13.79,16.28,20.71,-2.61,1.2,3.41,9.65,19.28,Retail REITs,"Santa Monica, California"
M,Macy's Inc.,Consumer Discretionary,26.47,50.15,25.68,2.21,4.66,0.48,32.02,54.59,Department Stores,"Cincinnati, Ohio"
MNK,Mallinckrodt Plc,Health Care,33.04,86.15,13.88,2.64,2,9.43,60.87,91.07,Pharmaceuticals,"Dublin, Ireland"
MRO,Marathon Oil Corp.,Energy,37.91,73.62,12.03,3.38,3.1,2.88,57.11,74.76,Oil & Gas Exploration & Production,"Houston, Texas"
MPC,Marathon Petroleum,Energy,13.24,209.93,65.53,6.63,0.9546699999999999,3.79,150.75,243.98,Oil & Gas Refining & Marketing,"Findlay, Ohio"
MAR,Marriott Int'l.,Consumer Discretionary,10.57,33.25,-0.94,1.47,1.19,1.45,28.66,37.38,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland"
MMC,Marsh & McLennan,Financials,119.61,110.96,5.23,3.69,6.25,11.14,85.93,112.92,Insurance Brokers,"New York, New York"
MLM,Martin Marietta Materials,Materials,8.57,25.02,7.03,0.92,0.82347,1.6,25,34.76,Construction Materials,"Raleigh, North Carolina"
MAS,Masco Corp.,Industrials,12.39,99,12.98,3.69,0.7541,2.82,88.64,107.84,Building Products,"Taylor, Michigan"
MA,Mastercard Inc.,Information Technology,104.89,128.07,-2.69,5.44,9.34,4.26,110.33,131.96,Internet Software & Services,"Harrison, New York"
MAT,Mattel Inc.,Consumer Discretionary,31.22,147.24,36.27,8.43,4.62,0.16,114.53,199.43,Leisure Products,"El Segundo, California"
MKC,McCormick & Co.,Consumer Staples,16.2,88.33,-2.8,2.92,1.01,4.33,69.25,94.4,Packaged Foods & Meats,"Sparks, Maryland"
MCD,McDonald's Corp.,Consumer Discretionary,111.7,81.4,35.99,2.83,8.89,3.81,69.35,89.27,Restaurants,"Oak Brook, Illinois"
MCK,McKesson Corp.,Health Care,181.1,65.96,14.58,1.41,12,4.58,51.33,66.8,Health Care Distributors,"San Francisco, California"
MJN,Mead Johnson,Consumer Staples,58.01,53.35,61.44,0.63,1.57,0.93,36.17,58.09,Packaged Foods & Meats,"Glenview, Illinois"
MDT,Medtronic plc,Health Care,12.48,481.3,16.72,14.22,0.58824,4.96,325.7,488.5,Health Care Equipment,"Dublin, Ireland"
MRK,Merck & Co.,Health Care,5.84,36.02,11.42,4.38,1.22,1.28,34.92,59.49,Pharmaceuticals,"Whitehouse Station, New Jersey"
MET,MetLife Inc.,Financials,15.98,73.84,11.86,0.41,0.9251,5.22,45.9,76.5,Life & Health Insurance,"New York, New York"
MTD,Mettler Toledo,Health Care,28.27,25.64,11.8,-0.3,3.39,2.18,9.35,25.92,Life Sciences Tools & Services,"Columbus, Ohio"
KORS,Michael Kors Holdings,Consumer Discretionary,497.65,64.4,8.9,2.12,27.74,5.8,48.03,65.91,"Apparel, Accessories & Luxury Goods","New York, New York"
MCHP,Microchip Technology,Information Technology,11.44,100.78,56.41,2.69,0.6362599999999999,10.16,85.04,110.01,Semiconductors,"Chandler, Arizona"
MU,Micron Technology,Information Technology,16.86,227.3,77.88,49.9,1.7,1.89,175.52,233.7,Semiconductors,"Boise, Idaho"
MSFT,Microsoft Corp.,Information Technology,20.85,96.99,53.13,9.26,0.851,4.32,88.24,112.19,Systems Software,"Redmond, Washington"
MAA,Mid-America Apartments,Real Estate,66,43.23,16.46,1.05,4.24,2.57,39.21,46.4,Residential REITs,"Memphis, Tennessee"
MHK,Mohawk Industries,Consumer Discretionary,50.46,115.06,10.04,3.65,4.01,3.61,83.73,116.04,Home Furnishings,"Amsterdam, New York"
TAP,Molson Coors Brewing Company,Consumer Staples,26.46,46.7,5.88,1.19,1.21,8.73,40.3,55.5,Brewers,"Denver, Colorado"
MDLZ,Mondelez International,Consumer Staples,21.5,112.66,-6.42,1.36,1.64,5.94,87.3,114.03,Packaged Foods & Meats,"Northfield, Illinois"
MON,Monsanto Co.,Materials,86.46,46.33,36.99,2.92,0,2.51,23.11,47.17,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri"
MNST,Monster Beverage,Consumer Staples,13.12,79.66,-5.85,3.24,1.54,2.18,62.76,87.55,Soft Drinks,"Corona, California"
MCO,Moody's Corp,Financials,4.78,27.74,28.55,-1.6,0.88273,2.69,21.35,37.48,Financial Exchanges & Data,"New York, New York"
MS,Morgan Stanley,Financials,23.2,43.33,20.76,0.92,3.53,2.13,33.6,50.4,Investment Banking & Brokerage,"New York, New York"
MOS,The Mosaic Company,Materials,11.83,70.93,32.6,0.64,1.16,3.21,61.19,72.52,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota"
MSI,Motorola Solutions Inc.,Information Technology,14.88,39.3,36.82,-6.41,-0.736,2.08,26.86,43.63,Communications Equipment,"Schaumburg, Illinois"
MUR,Murphy Oil,Energy,4.23,14.54,12.72,2.12,0,2.03,11.01,17.95,Integrated Oil & Gas,"El Dorado, Arkansas"
MYL,Mylan N.V.,Health Care,11.56,42.66,9.94,1.1,0.768,2.13,22.5,43.14,Pharmaceuticals,"Amsterdam, Netherlands"
NDAQ,"Nasdaq, Inc.",Financials,60.87,141.43,6.23,0.43,0.43732,6.92,84.5,145.95,Financial Exchanges & Data,"New York, New York"
NOV,National Oilwell Varco Inc.,Energy,23.41,48.53,23.52,1.25,2.39,1.78,38.82,55.45,Oil & Gas Equipment & Services,"Houston, Texas"
NAVI,Navient,Financials,7.08,35.86,4.75,-6.37,0.536,4.85,29.22,50,Consumer Finance,"Wilmington, Delaware"
NTAP,NetApp,Information Technology,17.52,32.98,20.17,-1.18,2.59,2.61,24.59,46.07,Internet Software & Services,"Sunnyvale, California"
NFLX,Netflix Inc.,Information Technology,7.36,12.66,18.84,-0.63,0.669,0.92,10.54,14.68,Internet Software & Services,"Los Gatos, California"
NWL,Newell Brands,Consumer Discretionary,7.56,13,18.84,-0.63,0.669,0.94,10.9,15.22,Housewares & Specialties,"Sandy Springs, Georgia"
NFX,Newfield Exploration Co,Energy,61.09,130.65,52.01,6.25,7.67,3.78,110.49,131.98,Oil & Gas Exploration & Production,"Houston, Texas"
NEM,Newmont Mining Corporation,Materials,15.91,44.5,11.48,1.39,1.62,2.52,40.28,55.94,Gold,"Denver, Colorado"
NWSA,News Corp. Class A,Consumer Discretionary,93.56,56.55,7.44,2.27,5.18,2.8,49.01,65.44,Publishing,"New York, New York"
NWS,News Corp. Class B,Consumer Discretionary,7.6,23.5,12.6,1.02,1.36,1.7,21.17,26.94,Publishing,"New York, New York"
NEE,NextEra Energy,Utilities,15.5,35.88,21.5,-2.32,0.852,4.69,28.82,42.03,Multi-Utilities,"Juno Beach, Florida"
NLSN,Nielsen Holdings,Industrials,7.49,44.03,5.12,2.02,1.65,0.52,35.01,62.82,Research & Consulting Services,"New York, New York"
NKE,Nike,Consumer Discretionary,35.45,122,42.73,5.62,4.1,3.61,74.7,125,"Apparel, Accessories & Luxury Goods","Washington County, Oregon"
NI,NiSource Inc.,Utilities,20.22,88.39,38.88,4.32,0,4.02,61.32,91.14,Multi-Utilities,"Merrillville, Indiana"
NBL,Noble Energy Inc,Energy,42.56,243.78,30.04,12.19,3.65,1.73,186.41,253.8,Oil & Gas Exploration & Production,"Houston, Texas"
JWN,Nordstrom,Consumer Discretionary,5.4,17.1,6.47,-2.22,2.75,0.44,9.84,18.32,Department Stores,"Seattle, Washington"
NSC,Norfolk Southern Corp.,Industrials,19.43,60.93,24.72,2.48,2.15,1.24,43.28,68,Railroads,"Norfolk, Virginia"
NTRS,Northern Trust Corp.,Financials,58.16,98.74,9.85,2.57,2.13,8.33,31.04,120.92,Asset Management & Custody Banks,"Chicago, Illinois"
NOC,Northrop Grumman Corp.,Industrials,24.73,269.82,17.52,10.73,1.92,2.87,248.02,292.84,Aerospace & Defense,"West Falls Church, Virginia"
NRG,NRG Energy,Utilities,49.45,64.7,28.13,-0.75,2.69,4.9,64.19,78.48,Independent Power Producers & Energy Traders,"Princeton, New Jersey"
NUE,Nucor Corp.,Materials,19.72,84.09,9.21,4.78,2.3,1.28,75.61,89.66,Steel,"Charlotte, North Carolina"
NVDA,Nvidia Corporation,Information Technology,11.92,56.58,0.9,1.66,1.67,1.34,25.61,59.47,Semiconductors,"Santa Clara, California"
ORLY,O'Reilly Automotive,Consumer Discretionary,174.76,42.6,11.81,2.1,14.6,4.69,37.51,43.26,Specialty Stores,"Springfield, Missouri"
OXY,Occidental Petroleum,Energy,23.71,67.57,19.33,1.48,2.43,1.41,48.17,70.12,Oil & Gas Exploration & Production,"Los Angeles, California"
OMC,Omnicom Group,Consumer Discretionary,20.99,157.49,33.97,6.48,1.6,1.88,99.1,159.05,Advertising,"New York, New York"
OKE,ONEOK,Energy,4.18,44.15,14.63,1.82,0.39844,0.74,36.46,50.4,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma"
ORCL,Oracle Corp.,Information Technology,22.31,62.16,5.06,2.15,1.31,7.31,51.06,63.01,Application Software,"Redwood Shores, California"
PCAR,PACCAR Inc.,Industrials,51.79,42.89,12.19,1.15,2.1,4.77,34,44.52,Construction Machinery & Heavy Trucks,"Bellevue, Washington"
PH,Parker-Hannifin,Industrials,10.71,58.9,23.41,2.86,0.9195,2.19,48.87,66.99,Industrial Machinery,"Cleveland, Ohio"
PDCO,Patterson Companies,Health Care,5.9,19.09,15.85,0.92,0,4.65,13.8,20.13,Health Care Supplies,"St. Paul, Minnesota"
PAYX,Paychex Inc.,Information Technology,156.02,109.32,7.88,4.36,12.11,2.49,98.5,110.94,Internet Software & Services,"Penfield, New York"
PYPL,PayPal,Information Technology,5.94,54.08,19.65,2.13,0.40594,2.82,45.35,57.28,Data Processing & Outsourced Services,"San Jose, California"
PNR,Pentair Ltd.,Industrials,10.08,70.3,60.47,-10.08,1.34,1.76,69,140.65,Industrial Machinery,"Worsley, UK"
PBCT,People's United Financial,Financials,202.3,33.99,9.81,1.17,19.81,3.87,28.74,37.39,Thrifts & Mortgage Finance,"Bridgeport, Connecticut"
PEP,PepsiCo Inc.,Consumer Staples,33.65,66.26,35.39,2.78,5.16,1.89,56.39,66.93,Soft Drinks,"Purchase, New York"
PKI,PerkinElmer,Health Care,171.51,110.55,-8.18,4.48,11.56,6.38,86.78,110.64,Health Care Equipment,"Waltham, Massachusetts"
PRGO,Perrigo,Health Care,40.12,77.48,43.16,2.92,2.24,0.57,73.67,90.87,Pharmaceuticals,"Dublin, Ireland"
PFE,Pfizer Inc.,Health Care,9.19,82.54,43.15,3.95,1.42,2.64,69.8,83.77,Pharmaceuticals,"New York, New York"
PCG,PG&E Corp.,Utilities,32.93,193.94,61.3,-3.35,0.776,8.34,124.3,199.83,Multi-Utilities,"San Francisco, California"
PM,Philip Morris International,Consumer Staples,61.94,127.4,94.22,7.3,0,4.21,77.4,131.83,Tobacco,"New York, New York"
PSX,Phillips 66,Energy,6.51,79.14,43.92,1.75,1.01,0.94,75.62,114,Oil & Gas Refining & Marketing,"Houston, Texas"
PNW,Pinnacle West Capital,Utilities,25.91,100.78,18.75,3.28,2.56,1.76,89.64,117,Multi-Utilities,"Phoenix, Arizona"
PXD,Pioneer Natural Resources,Energy,25.04,36.79,14.56,2.79,4.05,3.33,32.08,39.92,Oil & Gas Exploration & Production,"Irving, Texas"
PNC,PNC Financial Services,Financials,33.86,118.79,17.62,5.21,3.44,3.19,105.92,125,Regional Banks,"Pittsburgh, Pennsylvania"
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,85.38,1736.46,199.64,42.65,4.15,7.92,1148.06,1748.39,"Apparel, Accessories & Luxury Goods","New York, New York"
PPG,PPG Industries,Materials,18.12,63.04,35.55,4.5,1.95,1.47,37.69,64.31,Specialty Chemicals,"Pittsburgh, Pennsylvania"
PPL,PPL Corp.,Utilities,230.82,90.29,20.35,5.46,17.77,3.54,79.1,91.89,Electric Utilities,"Allentown, Pennsylvania"
PX,Praxair Inc.,Materials,22.84,39.32,13.72,1.76,1.81,0.98,30.54,39.94,Industrial Gases,"Danbury, Connecticut"
PCLN,Priceline.com Inc,Consumer Discretionary,26.76,50.55,28.21,2.27,1.81,9.78,40.88,54.87,Internet & Direct Marketing Retail,"Norwalk, Connecticut"
PFG,Principal Financial Group,Financials,47.83,111.24,106.76,9.71,7.5,0.8,66.51,114.55,Life & Health Insurance,"Des Moines, Iowa"
PG,Procter & Gamble,Consumer Staples,22.77,44.98,26.01,1.75,3.37,2.52,39.28,47.41,Personal Products,"Cincinnati, Ohio"
PGR,Progressive Corp.,Financials,39.59,228.01,29.11,6.81,1.86,15.12,200.65,277.6,Property & Casualty Insurance,"Mayfield Village, Ohio"
PLD,Prologis,Real Estate,7.24,22.79,14.6,1.75,1.03,0.93,16.6,22.94,Industrial REITs,"San Francisco, California"
PRU,Prudential Financial,Financials,7.11,89.75,60.33,7.15,1.07,0.87,82.1,115.4,Life & Health Insurance,"Newark, New Jersey"
PEG,Public Serv. Enterprise Inc.,Utilities,8.46,66.89,38.49,-0.75,0.83108,2.8,43.79,68.66,Electric Utilities,"Newark, New Jersey"
PSA,Public Storage,Real Estate,83.79,56.73,21.12,3.28,8.55,3.51,49.67,71.62,Specialized REITs,"Glendale, California"
PHM,Pulte Homes Inc.,Consumer Discretionary,5.68,37.53,22.08,1.26,0.5442,0.74,21.52,38.82,Homebuilding,"Atlanta, Georgia"
PVH,PVH Corp.,Consumer Discretionary,13.5,98.17,33.78,4.51,1.41,1.8,67.36,98.75,"Apparel, Accessories & Luxury Goods","New York, New York"
QRVO,Qorvo,Information Technology,6.81,27.91,22.16,-2.75,0.01157,5.1,27.07,46.96,Semiconductors,"Greensboro, North Carolina"
PWR,Quanta Services Inc.,Industrials,45.24,154.48,34.38,7.44,3.69,1.87,120.24,156.4,Construction & Engineering,"Houston, Texas"
QCOM,QUALCOMM Inc.,Information Technology,15.57,59.84,24.49,1.13,0.99764,14.07,52.72,72.29,Semiconductors,"San Diego, California"
DGX,Quest Diagnostics,Health Care,14.61,81.97,7.12,1.31,0.39837,6.29,68.54,85.01,Health Care Services,"Madison, New Jersey"
RRC,Range Resources Corp.,Energy,6.84,65.72,21.76,1.42,0.40428,10.74,65.16,85.35,Oil & Gas Exploration & Production,"Fort Worth, Texas"
RJF,Raymond James Financial Inc.,Financials,39.29,372.52,42.19,7.7,1.44,8.29,325.35,452.96,Investment Banking & Brokerage,"St. Petersburg, Florida"
RTN,Raytheon Co.,Industrials,18.38,15.25,13.05,0.87,0,3.44,7.53,16.03,Aerospace & Defense,"Waltham, Massachusetts"
O,Realty Income Corporation,Real Estate,21.05,62.08,22.66,1.78,2.65,2.24,45.56,62.39,Retail REITs,"San Diego, California"
RHT,Red Hat Inc.,Information Technology,87.24,61.18,15.23,4.25,6.03,6.99,43.38,61.96,Systems Software,"Raleigh, North Carolina"
REG,Regency Centers Corporation,Real Estate,6.07,47.53,8.5,2.67,0.61754,1.15,34.34,50.98,Retail REITs,"Jacksonville, Florida"
REGN,Regeneron,Health Care,19.75,153.58,15.94,5.81,1.19,3.31,104.48,156.11,Biotechnology,"Tarrytown, New York"
RF,Regions Financial Corp.,Financials,12.75,97.47,16.85,5.59,1.22,2.41,78.54,98.12,Regional Banks,"Birmingham, Alabama"
RSG,Republic Services Inc,Industrials,21.57,211.75,56.94,6.43,1.3,5.71,159.28,213.39,Environmental & Facilities Services,"Phoenix, Arizona"
RAI,Reynolds American Inc.,Consumer Staples,25.96,66.87,7.08,2.83,2.11,2.03,52,69.81,Tobacco,"Winston-Salem, North Carolina"
RHI,Robert Half International,Industrials,20.31,94.54,42.51,5.93,2.38,2.4,64.95,97.67,Human Resource & Employment Services,"Menlo Park, California"
ROK,Rockwell Automation Inc.,Industrials,4.07,76.07,38.39,4.9,1.81,0.61,56.98,85.42,Electrical Components & Equipment,"Milwaukee, Wisconsin"
COL,Rockwell Collins,Industrials,33.77,130.69,2.52,7.94,2.47,5.95,92.03,131.26,Aerospace & Defense,"Cedar Rapids, Iowa"
ROP,Roper Technologies,Industrials,58.16,82.97,10.7,0.26,0.69647,6.89,66.43,84.48,Industrial Conglomerates,"Sarasota, Florida"
ROST,Ross Stores,Consumer Discretionary,9.98,69.81,40.06,4.16,1.6,2.38,64.5,76.41,Apparel Retail,"Pleasanton, California"
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,111.25,79.95,29.52,-1.24,6.38,4.04,71.34,87.84,"Hotels, Resorts & Cruise Lines","Miami, Florida"
R,Ryder System,Industrials,10.14,78.34,14.69,5.18,1.52,2.97,58.73,83.42,Trucking,"Miami, Florida"
CRM,Salesforce.com,Information Technology,14.25,48.28,5.16,1.71,1.71,1.31,18.42,49.79,Internet Software & Services,"San Francisco, California"
SCG,SCANA Corp,Utilities,8.59,44.41,3.15,2.46,1.04,1.29,42.01,52.83,Multi-Utilities,"Cayce, South Carolina"
SLB,Schlumberger Ltd.,Energy,27.71,110.58,51.77,5.46,2.94,2.7,92.95,114.66,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands"
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,28.74,310.58,20.3,11.99,1.98,2.43,239.48,316.66,Cable & Satellite,"Cincinnati, Ohio"
