Symbol,Security,Sector,Market Cap,Price,Book Value,Earnings/Share,EBITDA,Price/Sales,52 week low,52 week high,Sub Industry,Address of Headquarters
COF,Capital One Financial,Financials,40.31,55.53,31.12,3.72,4.76,2.47,42.94,57.79,Consumer Finance,"Tysons Corner, Virginia"
CAH,Cardinal Health Inc.,Health Care,56.26,95.93,22.4,-0.12,4.92,1.46,69.04,99.46,Health Care Distributors,"Dublin, Ohio"
CBOE,CBOE Holdings,Financials,6.34,77.97,3.91,2.27,0.35725999999999997,9.65,61.22,81.36,Financial Exchanges & Data,"Chicago, Illinois"
KMX,Carmax Inc,Consumer Discretionary,12.02,36.16,9.07,1.69,1.2,0.91,24.11,36.59,Specialty Stores,"Richmond, Virginia"
CCL,Carnival Corp.,Consumer Discretionary,27.82,67.94,8.95,2.81,3.1,2.11,48.88,68.59,"Hotels, Resorts & Cruise Lines","Miami, Florida"
CAT,Caterpillar Inc.,Industrials,94.97,122.08,8.48,2.49,4.01,8.56,94.39,127,Construction Machinery & Heavy Trucks,"Peoria, Illinois"
CBG,CBRE Group,Real Estate,12.14,70.56,34.29,3.43,1.97,0.32,50,75.57,Real Estate Services,"Los Angeles, California"
CBS,CBS Corp.,Consumer Discretionary,12.06,28,8.03,1,2.09,1.6,19.83,28.08,Broadcasting,"New York, New York"
CELG,Celgene Corp.,Health Care,12.3,22.5,24.52,1.16,6.49,0.72,22.37,33.45,Biotechnology,"Summit, New Jersey"
CNC,Centene Corporation,Health Care,18.12,54.97,11.92,1.85,1.32,3.86,47.01,67.5,Managed Health Care,"St Louis, Missouri"
CNP,CenterPoint Energy,Utilities,7.04,30.2,14.36,-1.19,1.24,1.95,20.77,37.17,Multi-Utilities,"Houston, Texas"
CTL,CenturyLink Inc,Telecommunication Services,55.61,41.66,10.23,1.31,0,7.53,23.83,43.36,Integrated Telecommunication Services,"Monroe, Louisiana"
CERN,Cerner,Health Care,86.92,323.24,149.27,15.95,10.73,3,182.75,341.5,Health Care Technology,"North Kansas City, Missouri"
CF,CF Industries Holdings Inc,Materials,4.67,5.26,-3.59,-33.88,0.215,0.61,3.53,8.2,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois"
SCHW,Charles Schwab Corporation,Financials,211.67,111.81,76.95,-0.27,13.36,2.07,89.47,119,Investment Banking & Brokerage,"San Francisco, California"
CHTR,Charter Communications,Consumer Discretionary,11.65,404.9,48.67,0.77,0.20481,3.03,352.96,521.51,Cable & Satellite,"Stamford, Connecticut"
CHK,Chesapeake Energy,Energy,64,137.41,103.6,8.87,5.69,2.04,115.5,140.55,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma"
CVX,Chevron Corp.,Energy,12.62,49.55,7.79,1.75,0.8367,3.62,42.56,53.68,Integrated Oil & Gas,"San Ramon, California"
CMG,Chipotle Mexican Grill,Consumer Discretionary,39.03,151.84,53.42,7.19,3.85,0.99,115.03,154.24,Restaurants,"Denver, Colorado"
CB,Chubb Limited,Financials,11.6,124.25,25.27,-4.62,0.58573,9.31,86.08,146.96,Property & Casualty Insurance,"Zurich, Switzerland"
CHD,Church & Dwight,Consumer Staples,12.05,73.17,42.95,3.55,0.913,2.21,63.57,79.6,Household Products,"Ewing, New Jersey"
